header,true_label,true_binary,v3_bin_pred,v3_bin_conf,v3_sf_pred,v3_sf_conf,v4_bin_pred,v4_bin_conf,v4_sf_pred,v4_sf_conf,seq_length,modeled_sf,binary_eval,v3_bin_correct,v4_bin_correct,both_bin_correct,both_bin_wrong,v3_sf_correct,v4_sf_correct,both_sf_wrong
hAT_39-aRanImi#DNA/hAT,DNA/hAT,1,0,0.99986696,DNA/PIF-Harbinger,0.40814942,0,0.96219605,DNA/PIF-Harbinger,0.7658066,19043,True,True,False,False,False,True,False,False,True
hAT_23-kMyxGlu#DNA/hAT,DNA/hAT,1,0,0.99970514,DNA/hAT,0.62850946,0,0.99984324,DNA,0.91249794,2573,True,True,False,False,False,True,True,False,False
Unknown_145-rPodSic#DNA,None,0,1,0.9996001,DNA,0.5707178,1,0.99998724,DNA,0.91565895,1446,False,True,False,False,False,True,True,True,False
hAT_51-aGasCar#DNA/hAT,None,0,1,0.99955577,DNA/hAT,0.61353225,1,0.7830865,DNA/hAT,0.8994798,13275,False,True,False,False,False,True,True,True,False
Unknown_77-rPodSic#DNA,None,0,1,0.9995005,DNA,0.53051883,1,0.9999889,DNA,0.9157985,1742,False,True,False,False,False,True,True,True,False
Unknown_90-bPasSan#Unknown,None,0,1,0.9990476,DNA/Academ-1,0.8674439,1,0.99976975,DNA/PiggyBac,0.8997364,1289,False,True,False,False,False,True,True,True,False
hAT_44-aGasCar#DNA/hAT,None,0,1,0.9990281,DNA/hAT,0.654858,1,0.8479241,DNA/hAT,0.917481,13575,False,True,False,False,False,True,True,True,False
hAT_10-fEutGur#DNA,DNA,1,0,0.99901557,DNA,0.92418414,0,0.99608946,DNA,0.7328567,1560,True,True,False,False,False,True,True,True,False
hAT_84-aGasCar#DNA/hAT,None,0,1,0.9989882,DNA/hAT,0.6295453,1,0.99736685,DNA/hAT,0.91445595,14563,False,True,False,False,False,True,True,True,False
hAT_97-aGasCar#DNA/hAT,None,0,1,0.9988508,DNA/hAT,0.6396705,1,0.9948003,DNA/hAT,0.9154898,14402,False,True,False,False,False,True,True,True,False
TcMar-Tc1_9-fOdoBon#DNA/TcMar-Tc1,None,0,1,0.9988167,DNA/TcMar-Tc1,0.88491195,1,0.99991715,DNA/TcMar-Tc1,0.9247768,1484,False,True,False,False,False,True,True,True,False
hAT_2-fCoiMys#Unknown,None,0,1,0.99868923,DNA/Academ-1,0.9813301,1,0.94508433,DNA,0.7223765,6267,False,True,False,False,False,True,True,True,False
Unknown_138-rPodSic#DNA,None,0,1,0.9986858,DNA,0.645037,1,0.9999865,DNA,0.9156008,1544,False,True,False,False,False,True,True,True,False
hAT_54-aGasCar#DNA/hAT,None,0,1,0.9985825,DNA/hAT,0.6586679,1,0.8531362,DNA/hAT,0.9179828,13142,False,True,False,False,False,True,True,True,False
hAT_57-aGasCar#DNA/hAT,None,0,1,0.9985331,DNA/hAT,0.6888915,1,0.9838847,DNA/hAT,0.915886,15528,False,True,False,False,False,True,True,True,False
hAT_80-aGasCar#DNA/hAT,None,0,1,0.99841464,DNA/hAT,0.69219714,1,0.8736568,DNA/hAT,0.91873306,11783,False,True,False,False,False,True,True,True,False
hAT_38-rPodBoc#DNA/hAT,None,0,1,0.9979159,DNA/hAT,0.82833546,1,0.9999726,DNA/hAT,0.9162092,1537,False,True,False,False,False,True,True,True,False
hAT_74-aGasCar#DNA/hAT,None,0,1,0.9979012,DNA/hAT,0.6458775,1,0.7897898,DNA/hAT,0.9074648,12164,False,True,False,False,False,True,True,True,False
hAT_5-aRanTem#Unknown,None,0,1,0.997804,DNA/Academ-1,0.852855,1,0.9963102,DNA/Academ-1,0.8652148,3925,False,True,False,False,False,True,True,True,False
hAT_8-mMesMir#Unknown,None,0,1,0.99777156,DNA/Academ-1,0.7021556,1,0.9982834,DNA/TcMar-Tc1,0.9129475,1736,False,True,False,False,False,True,True,True,False
hAT_5-rEubMac#DNA/hAT,None,0,1,0.9975909,DNA/hAT,0.8283877,1,0.9899531,DNA/hAT,0.91504836,13439,False,True,False,False,False,True,True,True,False
hAT_77-aGasCar#DNA/hAT,None,0,1,0.99751437,DNA/hAT,0.67878586,1,0.9974438,DNA/hAT,0.9144112,12050,False,True,False,False,False,True,True,True,False
hAT_58-aGasCar#DNA/hAT,None,0,1,0.99748886,DNA/hAT,0.61587566,1,0.8611409,DNA/hAT,0.9201756,13002,False,True,False,False,False,True,True,True,False
hAT_1-fSquCep#DNA,DNA,1,0,0.99739957,DNA,0.9137743,0,0.99998116,DNA,0.5162563,519,True,True,False,False,False,True,True,True,False
hAT_63-aGasCar#DNA/hAT,None,0,1,0.9970595,DNA/hAT,0.6253129,1,0.9969049,DNA/hAT,0.9151933,12811,False,True,False,False,False,True,True,True,False
hAT_3-rEubMac#DNA/hAT,None,0,1,0.99700254,DNA/hAT,0.83529335,1,0.98957074,DNA/hAT,0.91499186,13443,False,True,False,False,False,True,True,True,False
hAT_35-fPhoPho#DNA/TcMar-Tc1,None,0,1,0.99683315,DNA/TcMar-Tc1,0.79559475,1,0.9998845,DNA/TcMar-Tc1,0.91340953,1514,False,True,False,False,False,True,True,True,False
hAT_195-aRanTem#DNA/hAT,None,0,1,0.9967078,DNA/hAT,0.6060443,1,0.9998387,DNA/hAT,0.92192745,5273,False,True,False,False,False,True,True,True,False
Academ-1_5-fGymBra#DNA/Academ-1,None,0,1,0.99666566,DNA/Academ-1,0.9242662,1,0.99963725,DNA/Academ-1,0.9250414,3992,False,True,False,False,False,True,True,True,False
PiggyBac_17-aRanImi#DNA/PiggyBac,DNA/PiggyBac,1,0,0.99652016,DNA/PiggyBac,0.8963839,0,1.0,DNA,0.9999814,9622,True,True,False,False,False,True,True,False,False
TcMar-Tc1_7-fRutRut#DNA/TcMar-Tc1,None,0,1,0.99644667,DNA/TcMar-Tc1,0.82696,1,0.9998404,DNA/TcMar-Tc1,0.92109853,1654,False,True,False,False,False,True,True,True,False
PiggyBac_7-aPelLes#DNA/PiggyBac,None,0,1,0.9963582,DNA/PiggyBac,0.8976326,1,0.9884045,DNA/PiggyBac,0.90799165,10532,False,True,False,False,False,True,True,True,False
PiggyBac_11-aPelLes#DNA/PiggyBac,None,0,1,0.99635315,DNA/PiggyBac,0.94053173,1,0.98657054,DNA/PiggyBac,0.90988356,10187,False,True,False,False,False,True,True,True,False
ERV2_1-bHalAlb#LTR,DNA/PiggyBac,1,0,0.9963168,DNA,0.25934726,0,0.99988556,DNA,0.68455064,3442,True,True,False,False,False,True,False,False,True
Unknown_7-fMasArm#Unknown,None,0,1,0.9962961,DNA/TcMar-Tc1,0.69665045,1,0.9999373,DNA/TcMar-Tc1,0.9158628,834,False,True,False,False,False,True,True,True,False
TcMar-Tc1_56-kTriCli#DNA/TcMar-Tc1,None,0,1,0.99621826,DNA/TcMar-Tc1,0.88824415,1,0.99993455,DNA/TcMar-Tc1,0.91330504,989,False,True,False,False,False,True,True,True,False
TcMar-Tc1_49-kTriCli#DNA/TcMar-Tc1,None,0,1,0.99615073,DNA/TcMar-Tc1,0.8874873,1,0.9999347,DNA/TcMar-Tc1,0.91394913,1022,False,True,False,False,False,True,True,True,False
Academ-1_52-kMyxGlu#DNA/Academ-1,None,0,1,0.9959906,DNA/Academ-1,0.95949703,1,0.9999982,DNA/Academ-1,0.92729056,1747,False,True,False,False,False,True,True,True,False
hAT_290-aMixFle#DNA/hAT,None,0,1,0.995917,DNA/hAT,0.5578851,1,0.9838367,DNA/hAT,0.9170349,7369,False,True,False,False,False,True,True,True,False
PiggyBac_40-aPelLes#DNA/PiggyBac,None,0,1,0.995876,DNA/PiggyBac,0.91612375,1,0.99896944,DNA/PiggyBac,0.90623873,9015,False,True,False,False,False,True,True,True,False
hAT_28-rEubMac#Unknown,None,0,1,0.99579585,DNA/hAT,0.8379549,1,0.9876057,DNA/hAT,0.9142455,8861,False,True,False,False,False,True,True,True,False
TcMar-Tc1_1-mHipLar#DNA/TcMar-Tc1,None,0,1,0.99561405,DNA/TcMar-Tc1,0.80626595,1,0.99983025,DNA/TcMar-Tc1,0.9131744,1103,False,True,False,False,False,True,True,True,False
TcMar-Tc1_83-fCorLav#DNA/TcMar-Tc1,None,0,1,0.9955705,DNA/TcMar-Tc1,0.7635195,1,0.9998808,DNA/TcMar-Tc1,0.92008114,1556,False,True,False,False,False,True,True,True,False
hAT_455-aMixFle#DNA/hAT,None,0,1,0.99549145,DNA/hAT,0.6244275,1,0.9899182,DNA/hAT,0.91628647,5976,False,True,False,False,False,True,True,True,False
TcMar-Tc1_2-fMasArm#DNA/TcMar-Tc1,None,0,1,0.9954755,DNA/TcMar-Tc1,0.7125403,1,0.9998605,DNA/TcMar-Tc1,0.91405976,996,False,True,False,False,False,True,True,True,False
hAT_485-aMixFle#DNA/hAT,None,0,1,0.9954717,DNA/hAT,0.69500494,1,0.9934701,DNA/hAT,0.91631526,5768,False,True,False,False,False,True,True,True,False
TcMar-Tc1_22-fScaEry#DNA/TcMar-Tc1,None,0,1,0.99539953,DNA/TcMar-Tc1,0.80002296,1,0.97328365,DNA/PiggyBac,0.8766369,2432,False,True,False,False,False,True,True,True,False
hAT_459-aMixFle#DNA/hAT,None,0,1,0.99539244,DNA/hAT,0.70235956,1,0.9924246,DNA/hAT,0.91648066,5968,False,True,False,False,False,True,True,True,False
TcMar-Tc1_4-fMasArm#DNA/TcMar-Tc1,None,0,1,0.99528027,DNA/TcMar-Tc1,0.7125474,1,0.9997074,DNA/TcMar-Tc1,0.9103826,817,False,True,False,False,False,True,True,True,False
PiggyBac_12-aPelLes#DNA/PiggyBac,None,0,1,0.99521446,DNA/PiggyBac,0.9257149,1,0.9981127,DNA/PiggyBac,0.91164845,10174,False,True,False,False,False,True,True,True,False
TcMar-Tc1_64-kTriCli#DNA/TcMar-Tc1,None,0,1,0.9951592,DNA/TcMar-Tc1,0.8783461,1,0.9936155,DNA/TcMar-Tc1,0.90709305,813,False,True,False,False,False,True,True,True,False
hAT_346-aMixFle#DNA/hAT,None,0,1,0.9950598,DNA/hAT,0.723701,1,0.9896597,DNA/hAT,0.916797,6868,False,True,False,False,False,True,True,True,False
hAT_43-aGasCar#DNA/hAT,None,0,1,0.9949091,DNA/hAT,0.70873386,1,0.86592144,DNA/hAT,0.9255144,13576,False,True,False,False,False,True,True,True,False
hAT_56-aGasCar#DNA/hAT,None,0,1,0.9948431,DNA/hAT,0.716874,1,0.88864714,DNA/hAT,0.92505413,13066,False,True,False,False,False,True,True,True,False
hAT_334-aMixFle#DNA/hAT,None,0,1,0.9948095,DNA/hAT,0.71982473,1,0.98091185,DNA/hAT,0.91688097,6972,False,True,False,False,False,True,True,True,False
hAT_100-aGasCar#DNA/hAT,None,0,1,0.994582,DNA/hAT,0.73671937,1,0.9947003,DNA/hAT,0.91468596,9546,False,True,False,False,False,True,True,True,False
