header,true_label,true_label_id,pred_label,pred_label_id,second_best_label,confidence,entropy,margin,correct,original_label,prob_None,prob_DNA,prob_DNA/Academ-1,prob_DNA/CMC,prob_DNA/Kolobok,prob_DNA/P,prob_DNA/PIF-Harbinger,prob_DNA/PiggyBac,prob_DNA/Sola-2,prob_DNA/TcMar-Tc1,prob_DNA/hAT
hAT_130-aAnoBae#DNA/hAT,DNA/hAT,10,None,0,DNA/P,0.19848308,2.3163152,0.085321605,False,DNA/hAT,0.19848308,0.06581645,0.07775565,0.08839269,0.10193173,0.113161474,0.053321976,0.06616303,0.108911715,0.051819056,0.07424308
hAT_133-aAnoBae#DNA/hAT,DNA/hAT,10,None,0,DNA/P,0.19831419,2.316523,0.08514509,False,DNA/hAT,0.19831419,0.06591427,0.077766456,0.08838269,0.10190941,0.1131691,0.05335419,0.06619567,0.10890623,0.0518429,0.07424488
hAT_137-aAnoBae#DNA/hAT,DNA/hAT,10,None,0,DNA/P,0.19894962,2.3155427,0.08555377,False,DNA/hAT,0.19894962,0.0650959,0.07745875,0.0887125,0.10209316,0.11339585,0.053326692,0.06596875,0.109015234,0.05190861,0.074074924
hAT_139-aAnoBae#DNA/hAT,DNA/hAT,10,None,0,DNA/P,0.19897819,2.3154414,0.085439034,False,DNA/hAT,0.19897819,0.06524919,0.07743379,0.08863509,0.102079265,0.11353915,0.053315207,0.065929,0.10903502,0.051810835,0.073995225
hAT_178-aAnoBae#DNA/hAT,DNA/hAT,10,None,0,DNA/P,0.19872057,2.3158534,0.08526838,False,DNA/hAT,0.19872057,0.06529642,0.07750315,0.08853393,0.10210198,0.113452196,0.0534108,0.06601449,0.10896776,0.051920254,0.074078545
hAT_190-aAnoBae#DNA/hAT,DNA/hAT,10,None,0,DNA/P,0.19896652,2.3155048,0.08547532,False,DNA/hAT,0.19896652,0.06529208,0.077428795,0.08851494,0.10216053,0.1134912,0.05335005,0.06595089,0.1090035,0.05182176,0.0740198
hAT_220-aAnoBae#DNA/hAT,DNA/hAT,10,None,0,DNA/P,0.19872525,2.3158092,0.08516426,False,DNA/hAT,0.19872525,0.0653852,0.077479936,0.08845332,0.10211489,0.113561,0.053421907,0.06599977,0.10897731,0.051882453,0.073998876
hAT_225-aAnoBae#DNA/hAT,DNA/hAT,10,None,0,DNA/P,0.1988543,2.31568,0.085316025,False,DNA/hAT,0.1988543,0.065767154,0.07743646,0.08833308,0.10213466,0.11353827,0.053347465,0.066021495,0.10894951,0.051704243,0.073913395
hAT_229-aAnoBae#DNA/hAT,DNA/hAT,10,None,0,DNA/P,0.19876607,2.3157833,0.08527874,False,DNA/hAT,0.19876607,0.06573845,0.07743296,0.08844098,0.102092296,0.113487326,0.05333448,0.06605931,0.10896733,0.051732406,0.073948376
hAT_244-aAnoBae#DNA/hAT,DNA/hAT,10,None,0,DNA/P,0.19891174,2.3155973,0.0853774,False,DNA/hAT,0.19891174,0.06574662,0.07741763,0.08838772,0.10212954,0.11353434,0.053313144,0.06601243,0.108947374,0.05168638,0.073913105
hAT_245-aAnoBae#DNA/hAT,DNA/hAT,10,None,0,DNA/P,0.19894113,2.315568,0.085398264,False,DNA/hAT,0.19894113,0.06574603,0.07742371,0.08837639,0.10210746,0.11354286,0.053324968,0.06600257,0.10896104,0.051678818,0.07389506
hAT_28-aAnoBae#DNA/hAT,DNA/hAT,10,None,0,DNA/P,0.19854805,2.316068,0.08490933,False,DNA/hAT,0.19854805,0.06588938,0.0775181,0.0881176,0.102134064,0.11363872,0.05344824,0.06609819,0.10890462,0.05176303,0.07394
hAT_34-aAnoBae#DNA/hAT,DNA/hAT,10,None,0,DNA/P,0.19868082,2.3159108,0.0850606,False,DNA/hAT,0.19868082,0.06587782,0.07745328,0.08818645,0.10214306,0.11362022,0.053424824,0.06607317,0.10891542,0.051746663,0.07387818
hAT_37-aAnoBae#DNA/hAT,DNA/hAT,10,None,0,DNA/P,0.1985312,2.316053,0.084864706,False,DNA/hAT,0.1985312,0.06588425,0.077501334,0.08813381,0.102172315,0.11366649,0.053459253,0.06606303,0.10890952,0.051756576,0.0739222
hAT_46-aAnoBae#DNA/hAT,DNA/hAT,10,None,0,DNA/P,0.1984631,2.3161697,0.084828876,False,DNA/hAT,0.1984631,0.06589964,0.077531405,0.08809562,0.10215933,0.11363422,0.05348486,0.06609268,0.10890217,0.051783644,0.07395334
hAT_62-aAnoBae#DNA/hAT,DNA/hAT,10,None,0,DNA/P,0.19837593,2.3162777,0.084694974,False,DNA/hAT,0.19837593,0.06598306,0.07755731,0.08803741,0.10216489,0.11368095,0.053515572,0.066099,0.10886586,0.051786423,0.073933594
hAT_118-aAnoBae#DNA,DNA,1,None,0,DNA/P,0.19676225,2.3189507,0.084031284,False,DNA,0.19676225,0.07156876,0.07674132,0.0864823,0.10207626,0.112730965,0.053241998,0.06766538,0.10853456,0.05113736,0.07305886
PIF-Harbinger_61-aAscTru#DNA/PIF-Harbinger,DNA/PIF-Harbinger,6,None,0,DNA/P,0.20089395,2.3111033,0.08502447,False,DNA/PIF-Harbinger,0.20089395,0.060869437,0.076720856,0.08932641,0.103412405,0.115869485,0.053714767,0.064116344,0.10948935,0.052118324,0.07346867
PIF-Harbinger_22-aAscTru#DNA/PIF-Harbinger,DNA/PIF-Harbinger,6,None,0,DNA/P,0.20118985,2.3106852,0.08531597,False,DNA/PIF-Harbinger,0.20118985,0.060805645,0.07662897,0.08948992,0.10339767,0.11587387,0.053616397,0.064042546,0.10952145,0.052032508,0.0734012
PIF-Harbinger_46-aAscTru#DNA/PIF-Harbinger,DNA/PIF-Harbinger,6,None,0,DNA/P,0.20119798,2.3107045,0.08533325,False,DNA/PIF-Harbinger,0.20119798,0.060897913,0.07663964,0.089419685,0.10339421,0.11586473,0.053617883,0.06406068,0.10952949,0.052009176,0.073368594
hAT_143-aAscTru#DNA,DNA,1,None,0,DNA/P,0.19740994,2.3172033,0.08349445,False,DNA,0.19740994,0.06756483,0.07691178,0.08811239,0.102460206,0.113915496,0.053627554,0.06618216,0.108777136,0.051555336,0.07348315
PIF-Harbinger_6-aBomBom#DNA/PIF-Harbinger,DNA/PIF-Harbinger,6,None,0,DNA/P,0.20447133,2.3041089,0.08629749,False,DNA/PIF-Harbinger,0.20447133,0.056917045,0.075209126,0.09057195,0.104695156,0.118173845,0.0535518,0.06212372,0.11021086,0.051785305,0.07228993
PiggyBac_23-aBomVar#DNA/PiggyBac,DNA/PiggyBac,7,None,0,DNA/P,0.20188789,2.3095362,0.08555519,False,DNA/PiggyBac,0.20188789,0.06032791,0.07636295,0.08960647,0.1035245,0.1163327,0.05371858,0.06380067,0.1095529,0.05182718,0.07305832
PiggyBac_27-aBomVar#DNA/PiggyBac,DNA/PiggyBac,7,None,0,DNA/P,0.20198937,2.3094347,0.08565037,False,DNA/PiggyBac,0.20198937,0.0603986,0.07632439,0.0896268,0.10351076,0.116339,0.05367968,0.063814476,0.10952742,0.051793944,0.0729956
PiggyBac_35-aBomVar#DNA/PiggyBac,DNA/PiggyBac,7,None,0,DNA/P,0.20193917,2.3095422,0.0856742,False,DNA/PiggyBac,0.20193917,0.060466785,0.07636407,0.089585096,0.10344006,0.11626497,0.05366277,0.06385661,0.10957925,0.05178896,0.07305228
PiggyBac_18-aBomVar#DNA/PiggyBac,DNA/PiggyBac,7,None,0,DNA/P,0.20219836,2.3092635,0.085994914,False,DNA/PiggyBac,0.20219836,0.06071708,0.07621666,0.08955548,0.10342432,0.11620344,0.053511973,0.06391122,0.109664425,0.05169014,0.0729069
PIF-Harbinger_21-aBomVar#DNA/PIF-Harbinger,DNA/PIF-Harbinger,6,None,0,DNA/P,0.20079596,2.3117862,0.08528224,False,DNA/PIF-Harbinger,0.20079596,0.062384255,0.07681724,0.08887063,0.10308063,0.11551373,0.05360336,0.064563304,0.10932075,0.051739633,0.073310554
PIF-Harbinger_22-aBomVar#DNA/PIF-Harbinger,DNA/PIF-Harbinger,6,None,0,DNA/P,0.20080385,2.3117793,0.0852945,False,DNA/PIF-Harbinger,0.20080385,0.062385082,0.07681716,0.088868104,0.10308163,0.115509346,0.05360137,0.06456482,0.10932092,0.051737648,0.07331002
hAT_9-aBomVar#DNA,DNA,1,None,0,DNA/P,0.20242463,2.308593,0.08586602,False,DNA,0.20242463,0.060401805,0.07601543,0.089511685,0.10379658,0.11655861,0.053460814,0.063637644,0.109748065,0.051646218,0.07279854
hAT_132-aBomVar#DNA,DNA,1,None,0,DNA/P,0.2031012,2.308209,0.086734004,False,DNA,0.2031012,0.061943106,0.07522969,0.08905594,0.10384812,0.1163672,0.053316485,0.06411466,0.10978982,0.0512146,0.072019145
TcMar-Tc1_29-aBomVar#DNA/TcMar-Tc1,DNA/TcMar-Tc1,9,None,0,DNA/P,0.20408371,2.3064117,0.08624791,False,DNA/TcMar-Tc1,0.20408371,0.061538395,0.074960865,0.08777308,0.10426886,0.1178358,0.05373107,0.06351404,0.10997407,0.050955575,0.07136453
hAT_75-aBufBuf#DNA/hAT,DNA/hAT,10,None,0,DNA/P,0.19911669,2.315306,0.08545689,False,DNA/hAT,0.19911669,0.06467257,0.07774986,0.08864716,0.102070116,0.1136598,0.053486913,0.06563257,0.108829595,0.051929895,0.07420482
hAT_96-aBufBuf#DNA/hAT,DNA/hAT,10,None,0,DNA/P,0.19978873,2.314151,0.08577846,False,DNA/hAT,0.19978873,0.06430396,0.077432804,0.08882112,0.10210102,0.114010274,0.05337102,0.06547566,0.10916253,0.05171946,0.073813416
PiggyBac_69-aBufBuf#DNA/PiggyBac,DNA/PiggyBac,7,None,0,DNA/P,0.2008128,2.3122256,0.0859037,False,DNA/PiggyBac,0.2008128,0.06305839,0.07677316,0.08886002,0.10278765,0.114909105,0.05342979,0.06499737,0.109348945,0.051701672,0.07332104
PiggyBac_6-aBufBuf#DNA/PiggyBac,DNA/PiggyBac,7,None,0,DNA/P,0.20035161,2.312991,0.08563176,False,DNA/PiggyBac,0.20035161,0.06325676,0.07699633,0.088788435,0.10267036,0.11471985,0.05355668,0.06511141,0.109221965,0.051815376,0.07351117
hAT_57-aBufBuf#DNA/hAT,DNA/hAT,10,None,0,DNA/P,0.1989545,2.3156335,0.08542906,False,DNA/hAT,0.1989545,0.06570402,0.07766634,0.0883205,0.10186129,0.113525435,0.05339537,0.06600672,0.10899728,0.051648453,0.073920086
hAT_74-aBufBuf#DNA/hAT,DNA/hAT,10,None,0,DNA/P,0.19864176,2.3161383,0.08528088,False,DNA/hAT,0.19864176,0.066128,0.07774258,0.088239014,0.10177526,0.11336088,0.0534044,0.06616536,0.10895186,0.051648065,0.07394288
PiggyBac_33-aBufBuf#DNA/PiggyBac,DNA/PiggyBac,7,None,0,DNA/P,0.20082808,2.3122878,0.0859346,False,DNA/PiggyBac,0.20082808,0.06324585,0.076811545,0.08874262,0.10269146,0.11489347,0.053459138,0.06503365,0.10934026,0.05162246,0.07333152
PiggyBac_40-aBufBuf#DNA/PiggyBac,DNA/PiggyBac,7,None,0,DNA/P,0.20113577,2.3119202,0.086270764,False,DNA/PiggyBac,0.20113577,0.063260175,0.07672373,0.08875219,0.10280895,0.114865005,0.053358037,0.06500198,0.10928435,0.051561143,0.073248684
PiggyBac_49-aBufBuf#DNA/PiggyBac,DNA/PiggyBac,7,None,0,DNA/P,0.2001568,2.3133276,0.08543414,False,DNA/PiggyBac,0.2001568,0.06395634,0.07699025,0.08857069,0.10253206,0.114722654,0.053521685,0.06527646,0.109213136,0.05165064,0.073409244
hAT_183-aBufBuf#DNA,DNA,1,None,0,DNA/P,0.20232862,2.3094356,0.08616832,False,DNA,0.20232862,0.06152952,0.075970866,0.08900384,0.10358879,0.1161603,0.053600054,0.06413185,0.10950831,0.051569104,0.0726087
TcMar-Tc1_12-aBufBuf#DNA/TcMar-Tc1,DNA/TcMar-Tc1,9,None,0,DNA/P,0.20424458,2.3054235,0.085800245,False,DNA/TcMar-Tc1,0.20424458,0.06069312,0.07498166,0.08808065,0.10429053,0.11844434,0.053657286,0.06303978,0.11039338,0.05081419,0.0713605
TcMar-Tc1_20-aBufBuf#DNA/TcMar-Tc1,DNA/TcMar-Tc1,9,None,0,DNA/P,0.20414296,2.3054886,0.0856171,False,DNA/TcMar-Tc1,0.20414296,0.060698543,0.074931644,0.08804555,0.10442265,0.118525855,0.053697005,0.0630425,0.11034462,0.050831825,0.07131688
TcMar-Tc1_22-aBufBuf#DNA/TcMar-Tc1,DNA/TcMar-Tc1,9,None,0,DNA/P,0.2041416,2.305653,0.08564885,False,DNA/TcMar-Tc1,0.2041416,0.06039875,0.074819535,0.088148296,0.10478999,0.11849275,0.053931583,0.06305118,0.10987525,0.05107402,0.07127704
TcMar-Tc1_40-aBufBuf#DNA/TcMar-Tc1,DNA/TcMar-Tc1,9,None,0,DNA/P,0.2020304,2.3102653,0.08560377,False,DNA/TcMar-Tc1,0.2020304,0.063989915,0.0756595,0.08762883,0.10354127,0.11642663,0.05372253,0.064538784,0.10935784,0.051125124,0.07197911
PiggyBac_6-aDenEbr#DNA/PiggyBac,DNA/PiggyBac,7,None,0,DNA/P,0.20078415,2.3124542,0.08592838,False,DNA/PiggyBac,0.20078415,0.063808024,0.07670015,0.08850575,0.102744065,0.11485577,0.05345176,0.06517038,0.10932679,0.051546145,0.07310706
PiggyBac_14-aDenEbr#DNA/PiggyBac,DNA/PiggyBac,7,None,0,DNA/P,0.2008652,2.3124723,0.08617847,False,DNA/PiggyBac,0.2008652,0.06397108,0.0766703,0.08852118,0.102722876,0.11468673,0.05339152,0.06522304,0.10930351,0.051545378,0.07309913
hAT_212-aEleCoq#DNA/hAT,DNA/hAT,10,None,0,DNA/P,0.19831392,2.31667,0.08514276,False,DNA/hAT,0.19831392,0.06620976,0.07778714,0.08825928,0.101822115,0.11317116,0.05345904,0.06634491,0.10878014,0.05174624,0.07410635
hAT_218-aEleCoq#DNA/hAT,DNA/hAT,10,None,0,DNA/P,0.19859442,2.3161588,0.085222416,False,DNA/hAT,0.19859442,0.06602649,0.07765729,0.0882451,0.10191895,0.113372006,0.05337075,0.06622157,0.108892076,0.051688045,0.074013315
hAT_247-aEleCoq#DNA/hAT,DNA/hAT,10,None,0,DNA/P,0.19880497,2.315974,0.08544213,False,DNA/hAT,0.19880497,0.065962866,0.077707745,0.08817069,0.101899706,0.11336284,0.053380847,0.06620522,0.10883194,0.051647432,0.07402565
hAT_440-aEleCoq#DNA/hAT,DNA/hAT,10,None,0,DNA/P,0.19838244,2.3166435,0.085227564,False,DNA/hAT,0.19838244,0.066417746,0.077790156,0.08813253,0.10181989,0.11315487,0.0534538,0.06636258,0.10873556,0.05166615,0.074084215
hAT_41-aEleCoq#DNA/hAT,DNA/hAT,10,None,0,DNA/P,0.19819042,2.3169274,0.08516278,False,DNA/hAT,0.19819042,0.066584,0.07783907,0.08813184,0.10177948,0.11302764,0.05342804,0.06645226,0.10873191,0.051693022,0.07414234
hAT_95-aEleCoq#DNA/hAT,DNA/hAT,10,None,0,DNA/P,0.19826405,2.3168254,0.08526179,False,DNA/hAT,0.19826405,0.06651499,0.07782693,0.08824457,0.10178792,0.113002256,0.053376928,0.06640742,0.108707175,0.05169577,0.07417198
hAT_260-aEleCoq#DNA/hAT,DNA/hAT,10,None,0,DNA/P,0.19834955,2.3167055,0.08529485,False,DNA/hAT,0.19834955,0.06664013,0.07775658,0.08813343,0.10176546,0.1130547,0.053366326,0.066432536,0.10879252,0.05163095,0.07407775
hAT_266-aEleCoq#DNA/hAT,DNA/hAT,10,None,0,DNA/P,0.19812319,2.3169692,0.08502493,False,DNA/hAT,0.19812319,0.06668387,0.07784943,0.08805328,0.101719424,0.11309826,0.053420294,0.066453256,0.108802915,0.051672075,0.074124016
hAT_272-aEleCoq#DNA/hAT,DNA/hAT,10,None,0,DNA/P,0.19819303,2.3168833,0.08514082,False,DNA/hAT,0.19819303,0.0666041,0.077827826,0.08813181,0.101704724,0.11305221,0.053399682,0.066425025,0.108835265,0.051677845,0.074148424
hAT_304-aEleCoq#DNA/hAT,DNA/hAT,10,None,0,DNA/P,0.19827706,2.3168287,0.08521576,False,DNA/hAT,0.19827706,0.06671353,0.07779546,0.08807386,0.10178404,0.113061294,0.05339994,0.06645283,0.10871677,0.051635936,0.07408933
hAT_370-aEleCoq#DNA/hAT,DNA/hAT,10,None,0,DNA/P,0.19820964,2.3168852,0.08516959,False,DNA/hAT,0.19820964,0.06669983,0.077841595,0.08812549,0.10175372,0.11304005,0.05340671,0.06642873,0.10874527,0.05162379,0.07412521
hAT_507-aEleCoq#DNA/hAT,DNA/hAT,10,None,0,DNA/P,0.19815686,2.3169653,0.085105345,False,DNA/hAT,0.19815686,0.06688194,0.07780985,0.087979056,0.10178243,0.11305152,0.05338719,0.066519834,0.108735576,0.05159378,0.074101955
hAT_518-aEleCoq#DNA/hAT,DNA/hAT,10,None,0,DNA/P,0.19808257,2.3170838,0.085056245,False,DNA/hAT,0.19808257,0.066793755,0.077815525,0.088090986,0.10176396,0.11302632,0.053431477,0.06649422,0.10870222,0.05168572,0.07411329
hAT_539-aEleCoq#DNA/hAT,DNA/hAT,10,None,0,DNA/P,0.19813003,2.316969,0.08501566,False,DNA/hAT,0.19813003,0.06673662,0.07775691,0.08806514,0.10178255,0.113114364,0.05342139,0.066465475,0.108762145,0.051693793,0.074071586
hAT_544-aEleCoq#DNA/hAT,DNA/hAT,10,None,0,DNA/P,0.19805177,2.3170364,0.08493583,False,DNA/hAT,0.19805177,0.06679041,0.07777917,0.08798616,0.10181707,0.11311594,0.053420786,0.06651066,0.108775966,0.051651835,0.074100226
hAT_615-aEleCoq#DNA/hAT,DNA/hAT,10,None,0,DNA/P,0.19879441,2.3161988,0.08571167,False,DNA/hAT,0.19879441,0.06668923,0.07758544,0.08805735,0.1019057,0.11308274,0.053265445,0.06641562,0.108725026,0.05155065,0.07392841
hAT_644-aEleCoq#DNA/hAT,DNA/hAT,10,None,0,DNA/P,0.19799906,2.3172288,0.085042484,False,DNA/hAT,0.19799906,0.06711569,0.0778289,0.087923534,0.101729736,0.112956576,0.053389028,0.06661634,0.10871703,0.05159747,0.07412665
hAT_652-aEleCoq#DNA/hAT,DNA/hAT,10,None,0,DNA/P,0.19796063,2.3173358,0.08514063,False,DNA/hAT,0.19796063,0.06722843,0.07788125,0.08791503,0.10173912,0.11282,0.053339195,0.06663063,0.10868051,0.051613785,0.07419139
hAT_654-aEleCoq#DNA/hAT,DNA/hAT,10,None,0,DNA/P,0.197813,2.3173997,0.08484794,False,DNA/hAT,0.197813,0.067103826,0.077857874,0.087933265,0.101761684,0.11296506,0.053386822,0.06660831,0.10874904,0.051653232,0.07416784
PiggyBac_2-aEleCoq#DNA/PiggyBac,DNA/PiggyBac,7,None,0,DNA/P,0.20176533,2.3107834,0.086384624,False,DNA/PiggyBac,0.20176533,0.06262796,0.07644326,0.08885708,0.10298739,0.115380704,0.053440623,0.064723074,0.109424025,0.051454373,0.07289624
hAT_54-aEleCoq#DNA/hAT,DNA/hAT,10,None,0,DNA/P,0.20455194,2.3053458,0.08630521,False,DNA/hAT,0.20455194,0.061501607,0.07450609,0.0880837,0.104487605,0.11824673,0.05352321,0.06348076,0.110138975,0.0506687,0.07081067
hAT_517-aEngPus#DNA/hAT,DNA/hAT,10,None,0,DNA/P,0.1995051,2.314598,0.08565375,False,DNA/hAT,0.1995051,0.06460568,0.0774835,0.08858338,0.10251387,0.11385135,0.053335804,0.06562218,0.10884688,0.051774725,0.07387753
hAT_922-aEngPus#DNA/hAT,DNA/hAT,10,None,0,DNA/P,0.19954808,2.3145027,0.085563764,False,DNA/hAT,0.19954808,0.06453466,0.07743345,0.08849792,0.10254614,0.11398432,0.05339137,0.065629885,0.10887223,0.051768646,0.073793255
hAT_223-aEngPus#DNA/hAT,DNA/hAT,10,None,0,DNA/P,0.19930123,2.314785,0.085230425,False,DNA/hAT,0.19930123,0.06466664,0.0774791,0.08838289,0.102524236,0.1140708,0.053453412,0.06569701,0.10887071,0.05177598,0.07377804
hAT_287-aEngPus#DNA/hAT,DNA/hAT,10,None,0,DNA/P,0.19937108,2.314805,0.085551485,False,DNA/hAT,0.19937108,0.06471035,0.07753474,0.08856535,0.10243212,0.1138196,0.053372856,0.06568607,0.108850814,0.051776227,0.073880754
hAT_362-aEngPus#DNA/hAT,DNA/hAT,10,None,0,DNA/P,0.19981691,2.3141985,0.08586993,False,DNA/hAT,0.19981691,0.06463794,0.077415906,0.08847999,0.10248883,0.11394698,0.053294554,0.06560521,0.108887814,0.051630843,0.07379507
