header,true_label,true_binary,v3_bin_pred,v3_bin_conf,v3_sf_pred,v3_sf_conf,v4_bin_pred,v4_bin_conf,v4_sf_pred,v4_sf_conf,seq_length,modeled_sf,binary_eval,v3_bin_correct,v4_bin_correct,both_bin_correct,both_bin_wrong,v3_sf_correct,v4_sf_correct,both_sf_wrong,models_agree
hAT_1-aDenEbr#DNA,DNA,1,1,0.9805557,DNA/PiggyBac,0.80166936,1,0.99715734,DNA/PiggyBac,0.89535385,6403,True,True,True,True,True,False,False,False,True,True
hAT_650-aPelLes#DNA/hAT,DNA/Academ-1,1,1,0.96215767,DNA/hAT,0.78150725,1,0.96520054,DNA/hAT,0.914205,10619,True,True,True,True,True,False,False,False,True,True
hAT_972-aRhiDor#DNA/hAT,DNA/PiggyBac,1,1,0.9839669,DNA/hAT,0.7114279,1,0.93868023,DNA/hAT,0.92239165,6687,True,True,True,True,True,False,False,False,True,True
hAT_16-fOdoBon#DNA,DNA,1,1,0.86061305,DNA/PIF-Harbinger,0.6347253,0,0.9998092,DNA/PIF-Harbinger,0.66906923,1954,True,True,True,False,False,False,False,False,True,True
hAT_10-aSpeBom#DNA,DNA,1,1,0.6457465,DNA/hAT,0.63205683,1,0.92264897,DNA/hAT,0.8973485,2799,True,True,True,True,True,False,False,False,True,True
hAT_30-kTriCli#DNA,DNA,1,0,0.900791,DNA/hAT,0.59047604,1,0.69986963,DNA/hAT,0.86960906,3297,True,True,False,True,False,False,False,False,True,True
hAT_13-fEleAnt#DNA,DNA,1,1,0.9871221,DNA/Academ-1,0.5826866,1,0.9999492,DNA/Academ-1,0.47725293,3319,True,True,True,True,True,False,False,False,True,True
hAT_10-rPodMur#DNA,DNA,1,1,0.8275151,DNA/hAT,0.56739455,1,0.9986859,DNA/hAT,0.8408038,1991,True,True,True,True,True,False,False,False,True,True
PIF-Harbinger_5-fGobGob#DNA/PIF-Harbinger,DNA/PIF-Harbinger,1,0,0.8796729,DNA,0.5566193,1,0.99997437,DNA,0.8287702,1424,True,True,False,True,False,False,False,False,True,True
Academ-1_1-fMicPou#DNA/Academ-1,DNA/Academ-1,1,0,0.97082436,DNA/hAT,0.51269484,1,0.8692357,DNA/hAT,0.7775818,698,True,True,False,True,False,False,False,False,True,True
hAT_260-fDirArg#DNA/hAT,DNA/hAT,1,1,0.7221801,DNA,0.4836763,1,0.9982969,DNA,0.85079134,3517,True,True,True,True,True,False,False,False,True,True
hAT_80-aRhiBiv#DNA/hAT,DNA/hAT,1,1,0.8185494,DNA,0.48195693,1,0.7526084,DNA,0.84722286,5125,True,True,True,True,True,False,False,False,True,True
hAT_46-rPodVau#DNA,DNA,1,1,0.9060772,DNA/hAT,0.47440004,1,0.99996734,DNA/hAT,0.916275,1388,True,True,True,True,True,False,False,False,True,True
TcMar-Tc1_10-fPorCra#DNA/TcMar-Tc1,DNA/TcMar-Tc1,1,1,0.9575056,DNA,0.46880934,1,0.97581404,DNA,0.76021147,1336,True,True,True,True,True,False,False,False,True,True
hAT_4-fAstCal#DNA,DNA,1,1,0.5871372,DNA/CMC,0.44872394,1,0.9634456,DNA/CMC,0.7832422,10230,True,True,True,True,True,False,False,False,True,True
TcMar-Tc1_1-bAptMan#DNA/TcMar-Tc1,DNA/TcMar-Tc1,1,0,0.8185548,DNA/Academ-1,0.4418994,0,0.85439783,DNA/Academ-1,0.7873647,5192,True,True,False,False,False,True,False,False,True,True
TcMar-Tc1_1-fGobNig#DNA/TcMar-Tc1,DNA/TcMar-Tc1,1,1,0.68808126,DNA,0.44122788,0,0.9999995,DNA,0.4884508,4223,True,True,True,False,False,False,False,False,True,True
hAT_265-aGeoSer#DNA,DNA,1,1,0.8027934,DNA/hAT,0.41703826,1,0.95656914,DNA/hAT,0.90541875,1327,True,True,True,True,True,False,False,False,True,True
PIF-Harbinger_1-fPhoPho#DNA/PIF-Harbinger,DNA/PIF-Harbinger,1,0,0.6721243,DNA,0.41511664,0,0.982206,DNA,0.74047357,3907,True,True,False,False,False,True,False,False,True,True
hAT_39-aRanImi#DNA/hAT,DNA/hAT,1,0,0.99986696,DNA/PIF-Harbinger,0.40814942,0,0.96219605,DNA/PIF-Harbinger,0.7658066,19043,True,True,False,False,False,True,False,False,True,True
hAT_20-rAnoSag#DNA,DNA,1,1,0.865312,DNA/hAT,0.38732204,1,0.9996026,DNA/hAT,0.91871214,2037,True,True,True,True,True,False,False,False,True,True
CMC_4-fEchVip#DNA/CMC,DNA/CMC,1,0,0.579865,DNA/Academ-1,0.37426218,1,0.98976445,DNA/Academ-1,0.37334245,8546,True,True,False,True,False,False,False,False,True,True
hAT_276-aGeoSer#DNA,DNA,1,1,0.91668004,DNA/hAT,0.3641105,1,0.9557878,DNA/hAT,0.9060795,1285,True,True,True,True,True,False,False,False,True,True
P_17-kMyxGlu#DNA,DNA,1,0,0.6172396,DNA/hAT,0.32080948,1,0.9976618,DNA/hAT,0.9042207,4436,True,True,False,True,False,False,False,False,True,True
Rex-Babar_6-sMobBir#DNA,DNA,1,0,0.9958476,DNA/hAT,0.2851238,1,0.9912868,DNA/hAT,0.75304765,6130,True,True,False,True,False,False,False,False,True,True
